premise_1,premise_2,conclusion,group,form,validity,abstraction,plausibiltiy,middleterm
All dolls are man made,Some toys are dolls ,Some toys are man made,1,Darii,valid,concrete,plausible,dolls
All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,1,Darii,valid,concrete,plausible,doughnuts
All singers are vocalists ,Some guitarists are singers,Some guitarists are vocalists,1,Darii,valid,concrete,plausible,singers
All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,1,Darii,valid,concrete,plausible,clowns
All poets are writers ,Some poets are teachers,Some teachers are writers,2,Datisi,valid,concrete,plausible,poets
All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,2,Datisi,valid,concrete,plausible,mugs
All ponies neigh,Some ponies are thoroughbreds,Some thoroughbreds neigh,2,Datisi,valid,concrete,plausible,ponies
All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,2,Datisi,valid,concrete,plausible,statues
Some criminals are liars ,All liars are humans,Some humans are criminals ,3,Dimatis,valid,concrete,plausible,liars
Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,3,Dimatis,valid,concrete,plausible,trucks
Some parents are widows ,All widows are women,Some women are parents,3,Dimatis,valid,concrete,plausible,widows
Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,3,Dimatis,valid,concrete,plausible,suitcases
Some grapes are red ,All grapes are fruits ,Some fruits are red ,4,Disamis,valid,concrete,plausible,grapes
Some swords are decorative,All swords are weapons ,Some weapons are decorative ,4,Disamis,valid,concrete,plausible,swords
Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,4,Disamis,valid,concrete,plausible,burgers
Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,4,Disamis,valid,concrete,plausible,rifles
All vocalists are singers,Some guitarists are singers,Some guitarists are vocalists,1,Darii,invalid,concrete,plausible,"singer, vocalist"
All computers run code,Some calculators run code,Some calculators are computers,1,Darii,invalid,concrete,plausible,"computers, code"
All suit pieces are made from fabric,Some shirts are made from fabric,Some shirts are suit pieces,1,Darii,invalid,concrete,plausible,"suit pieces, made from fabric"
All baby chicks have down,Some birds have down,Some birds are baby chicks,1,Darii,invalid,concrete,plausible,"baby chicks, having down"
All chili dogs are hotdogs,Some hotdogs are grilled,Some grilled things are chili dogs,2,Datisi,invalid,concrete,plausible,"chili dogs, hotdogs"
All pens are writting utensils,Some writing utensils use black ink,Some things that use black ink are pens,2,Datisi,invalid,concrete,plausible,"pens, writing utensils"
All paintings are framed,Some framed things are portraits,Some portraits are paintings,2,Datisi,invalid,concrete,plausible,"paintings, framed"
All speakers are hardware,Some hardware produces audio,Some speakers produce audio,2,Datisi,invalid,concrete,plausible,"speakers, hardware"
Some bags are pieces of luggage,All suitcases are pieces of luggage,Some suitcases are bags,3,Dimatis,invalid,concrete,plausible,"pieces of luggage, suitcases"
Some criminals are liars,All humans are liars,Some humans are criminals,3,Dimatis,invalid,concrete,plausible,"humans, liars"
Some buildings are workspaces,All offices are workspaces,Some offices are buildings,3,Dimatis,invalid,concrete,plausible,"offices, workspacse"
Some desserts are sweet,All candy is sweet,Some candy is dessert,3,Dimatis,invalid,concrete,plausible,"candy, sweet"
Some paths are straight,All roads are paths,Some roads are straight,4,Disamis,invalid,concrete,plausible,"roads, paths"
Some footwear are high heels,All shoes are footwear,Some shoes are high heels,4,Disamis,invalid,concrete,plausible,"shoes, footwear"
Some chairs have four legs,All things you can sit in are chairs,Some things you can sit in have four legs,4,Disamis,invalid,concrete,plausible,"chairs, things you can sit in"
Some containters are glasses,All cups are containers,Some cups are glasses,4,Disamis,invalid,concrete,plausible,"cups, containers"
