premise_1,premise_2,conclusion,group,form,validity,abstraction,plausibility,pair,statement_text,mean_rating,row_num,condition
All dolls have brown hair,Some trucks are dolls,Some trucks have brown hair,1,Darii,valid,concrete,implausible,1,All dolls have brown hair Some trucks are dolls Some trucks have brown hair,1.083333333,2,condition_2
The Vatican is in Nevada,Nevada is in Hawaii,"Therefore, the Vatican is in Hawaii",5,Sunny,valid,concrete,implausible,34,"The Vatican is in Nevada Nevada is in Hawaii Therefore, the Vatican is in Hawaii",1.18,4,condition_2
Some guns are bullets,All guns are rifles,Some rifles are bullets,4,Disamis,valid,concrete,implausible,16,Some guns are bullets All guns are rifles Some rifles are bullets,1.307692308,6,condition_2
All shirts are suits,Some shoes are suits,Some shoes are shirts,1,Darii,invalid,concrete,implausible,19,All shirts are suits Some shoes are suits Some shoes are shirts,1.384615385,8,condition_2
Some couches are liquid,All chairs are couches,Some chairs are liquid,4,Disamis,invalid,concrete,implausible,31,Some couches are liquid All chairs are couches Some chairs are liquid,1.53125,10,condition_2
All speakers are subwoofers,Some subwoofers are drum sets,Some speakers are drum sets,2,Datisi,invalid,concrete,implausible,24,All speakers are subwoofers Some subwoofers are drum sets Some speakers are drum sets,1.578947368,12,condition_2
Some anchovies are candy,All sweet snacks are candy,Some sweet snacks are anchovies,3,Dimatis,invalid,concrete,implausible,28,Some anchovies are candy All sweet snacks are candy Some sweet snacks are anchovies,1.620689655,14,condition_2
Some boats are cars,All cars are trucks,Some trucks are boats,3,Dimatis,valid,concrete,implausible,10,Some boats are cars All cars are trucks Some trucks are boats,1.692307692,16,condition_2
All doughnuts are cakes,Some crackers are doughnuts,Some crackers are cake,1,Darii,valid,concrete,implausible,2,All doughnuts are cakes Some crackers are doughnuts Some crackers are cake,1.88,18,condition_2
Some widows are infants,All infants are men,Some men are widows,3,Dimatis,valid,concrete,implausible,11,Some widows are infants All infants are men Some men are widows,1.896551724,20,condition_2
Some passengers are luggage,All bags are luggage,Some bags are passengers,3,Dimatis,invalid,concrete,implausible,25,Some passengers are luggage All bags are luggage Some bags are passengers,2.068965517,22,condition_2
