premise_1,premise_2,conclusion,group,form,validity,abstraction,plausibility,pair
All dolls are man made,Some toys are dolls ,Some toys are man made,1,Darii,valid,concrete,plausible,1
All dolls have brown hair,Some trucks are dolls,Some trucks have brown hair,1,Darii,valid,concrete,implausible,1
All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,1,Darii,valid,concrete,plausible,2
All doughnuts are cakes,Some crackers are doughnuts ,Some crackers are cake,1,Darii,valid,concrete,implausible,2
All singers are vocalists ,Some guitarists are singers,Some guitarists are vocalists,1,Darii,valid,concrete,plausible,3
All guitarists are baritone,Some piccolos are guitarists,Some piccolos are baritone,1,Darii,valid,concrete,implausible,3
All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,1,Darii,valid,concrete,plausible,4
All jugglers are clowns,Some lions can juggle,Some lions are clowns,1,Darii,valid,concrete,implausible,4
All poets are writers ,Some poets are teachers,Some teachers are writers,2,Datisi,valid,concrete,plausible,5
All school teachers are authors,Some school teachers are illiterate,Some authors are illiterate,2,Datisi,valid,concrete,implausible,5
All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,2,Datisi,valid,concrete,plausible,6
All cups are mugs,Some cups are soft,Some soft things are mugs,2,Datisi,valid,concrete,implausible,6
All ponies neigh,Some ponies are thoroughbreds,Some thoroughbreds neigh,2,Datisi,valid,concrete,plausible,7
All horses are ponies,Some horses are slithery,Some slithery things are ponies,2,Datisi,valid,concrete,implausible,7
All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,2,Datisi,valid,concrete,plausible,8
All sculptures are statues,Some sculptures are documents,Some documents are statues,2,Datisi,valid,concrete,implausible,8
Some criminals are liars ,All liars are humans,Some humans are criminals ,3,Dimatis,valid,concrete,plausible,n/a 9
Some mammals are frogs,All frogs are toads,Some toads are mammals,3,Dimatis,valid,concrete,implausible,n/a 9
Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,3,Dimatis,valid,concrete,plausible,10
Some boats are cars,All cars are trucks,Some trucks are boats,3,Dimatis,valid,concrete,implausible,10
Some parents are widows ,All widows are women,Some women are parents,3,Dimatis,valid,concrete,plausible,n/a 11
